img_num,label_name,longitude,latitude,acquisition date,FVC,ndvi_mean,ndvi_std,ndvi_median,gndvi_mean,evi_mean,lai_mean,table_key,category,Lettuce color,Leaf sample weight (mg),Sample disc weight (g),Anthocyanins OD-530 nm,Chlorophyll OD-657 nm,Chlorophyll interference,Anthocyanin,DATE,Illumination
240,R15,34.91627121,32.02521896,04/01/2026,0.171821594,0.8886702,0.03732523,0.9006326,0.8886702,1.0562772,3.7036107,table_70_1774187719104786388,RED_Shade_ids,RED,0.29,0.03,1.8254,0.9992,0.25,0.4548906259532526,05/02/2026,Shade
238,R15,34.91626358,32.02522278,04/01/2026,0.173934937,0.8935184,0.040335387,0.9045804,0.8935184,1.007713,3.527905,table_29_1774187719104773188,RED_Shade_ids,RED,0.29,0.03,1.8254,0.9992,0.25,0.4548906259532526,05/02/2026,Shade
234,R10,34.91629791,32.02521515,04/01/2026,0.199237823,0.8775916,0.04112467,0.88184774,0.8775916,1.0440674,3.6594357,table_52_1774187719104780788,RED_white_led_ids,RED,0.31,0.03,1.7297,1.118,0.28,0.37156424608741756,05/02/2026,White LED
235,R10,34.91625595,32.02522278,04/01/2026,0.204093933,0.86897236,0.03744733,0.8707795,0.86897236,1.155264,4.061745,table_10_1774187719104767888,RED_white_led_ids,RED,0.31,0.03,1.7297,1.118,0.28,0.37156424608741756,05/02/2026,White LED
240,R13,34.91627121,32.02521896,04/01/2026,0.171821594,0.889627,0.052482136,0.9046304,0.889627,1.0180466,3.5652924,table_72_1774187719104786888,RED_Shade_ids,RED,0.33,0.03,1.6396,0.9694,0.242,0.334327796094182,05/02/2026,Shade
238,R13,34.91626358,32.02522278,04/01/2026,0.173934937,0.8999719,0.042062197,0.9139263,0.8999719,0.91318536,3.1859045,table_35_1774187719104775388,RED_Shade_ids,RED,0.33,0.03,1.6396,0.9694,0.242,0.334327796094182,05/02/2026,Shade
162,R6,34.91620255,32.02521515,01/12/2025,0.076473236,0.8383302,0.0451447,0.85060775,0.8383302,0.97818923,3.421089,table_26_1774168017329676068,RED_white_led_ids,RED,0.19,0.03,1.305,0.1175,0.029,0.24373096862135057,05/12/2025,White LED
165,R6,34.91619492,32.02518845,01/12/2025,0.084526062,0.8427334,0.039405875,0.8492012,0.8427334,0.977598,3.4189496,table_34_1774168017329678868,RED_white_led_ids,RED,0.19,0.03,1.305,0.1175,0.029,0.24373096862135057,05/12/2025,White LED
161,R6,34.91622543,32.02519608,01/12/2025,0.08392334,0.84614,0.03510308,0.8525877,0.84614,0.9504532,3.3207397,table_18_1774168017329673768,RED_white_led_ids,RED,0.19,0.03,1.305,0.1175,0.029,0.24373096862135057,05/12/2025,White LED
160,R6,34.91624069,32.02518463,01/12/2025,0.08599472,0.8368417,0.04295208,0.84493047,0.8368417,0.9523118,3.3274639,table_2_1774168017329667968,RED_white_led_ids,RED,0.19,0.03,1.305,0.1175,0.029,0.24373096862135057,05/12/2025,White LED
163,R6,34.91619492,32.02517319,01/12/2025,0.080104828,0.83045554,0.042476125,0.8380396,0.83045554,0.9658063,3.376287,table_10_1774168017329670768,RED_white_led_ids,RED,0.19,0.03,1.305,0.1175,0.029,0.24373096862135057,05/12/2025,White LED
240,R14,34.91627121,32.02521896,04/01/2026,0.171821594,0.88147557,0.039331663,0.8940328,0.88147557,0.9917535,3.4701645,table_71_1774187719104786588,RED_Shade_ids,RED,0.3,0.03,1.3747,0.9608,0.24,0.12663353199024652,05/02/2026,Shade
238,R14,34.91626358,32.02522278,04/01/2026,0.173934937,0.89608103,0.044556122,0.91163975,0.89608103,0.9953109,3.483035,table_28_1774187719104772888,RED_Shade_ids,RED,0.3,0.03,1.3747,0.9608,0.24,0.12663353199024652,05/02/2026,Shade
234,R9,34.91629791,32.02521515,04/01/2026,0.199237823,0.87683797,0.039221443,0.8826372,0.87683797,1.0216358,3.5782783,table_51_1774187719104780588,RED_white_led_ids,RED,0.39,0.03,1.3738,0.9998,0.25,0.11689464115081889,05/02/2026,White LED
235,R9,34.91625595,32.02522278,04/01/2026,0.204093933,0.8663893,0.0429221,0.8740772,0.8663893,1.1283627,3.9644163,table_11_1774187719104768188,RED_white_led_ids,RED,0.39,0.03,1.3738,0.9998,0.25,0.11689464115081889,05/02/2026,White LED
229,C1,34.91627502,32.02522278,22/01/2026,0.06413269,0.848011,0.049177926,0.8560659,0.848011,1.0110335,3.5399194,table_55_1774186061812426936,RED_Control_ids,RED,0.31,0.03,1.2705,0.7285,0.182,0.08434206755097555,29/01/2026,Control-Sun
230,C1,34.91625977,32.02520752,22/01/2026,0.056735992,0.8540912,0.049855676,0.8619139,0.8540912,0.9291668,3.2437253,table_45_1774186061812416236,RED_Control_ids,RED,0.31,0.03,1.2705,0.7285,0.182,0.08434206755097555,29/01/2026,Control-Sun
234,R5,34.91629791,32.02521515,04/01/2026,0.199237823,0.8803702,0.0432353,0.8884472,0.8803702,1.0415077,3.650175,table_57_1774187719104782488,RED_white_blue_led_ids,RED,0.35,0.03,1.2819,0.8524,0.213,0.06672456749616555,05/02/2026,White+Blue LED
235,R5,34.91625595,32.02522278,04/01/2026,0.204093933,0.88561606,0.04182652,0.89506316,0.88561606,1.0656788,3.737626,table_17_1774187719104769788,RED_white_blue_led_ids,RED,0.35,0.03,1.2819,0.8524,0.213,0.06672456749616555,05/02/2026,White+Blue LED
234,R8,34.91629791,32.02521515,04/01/2026,0.199237823,0.87467605,0.037663314,0.878775,0.87467605,1.0353489,3.6278923,table_50_1774187719104780288,RED_white_led_ids,RED,0.75,0.03,1.318,1.0201,0.255,0.0610960400931406,05/02/2026,White LED
235,R8,34.91625595,32.02522278,04/01/2026,0.204093933,0.8773397,0.042314608,0.8797624,0.8773397,1.0979763,3.8544788,table_12_1774187719104768488,RED_white_led_ids,RED,0.75,0.03,1.318,1.0201,0.255,0.0610960400931406,05/02/2026,White LED
227,R8,34.91625214,32.02519989,22/01/2026,0.077987671,0.8226961,0.039890017,0.8314593,0.8226961,1.0016127,3.505835,table_67_1774186061812430236,RED_white_led_ids,RED,0.29,0.03,1.2612,0.8322,0.208,0.05164418281900371,29/01/2026,White LED
228,R8,34.91625214,32.02519989,22/01/2026,0.088142395,0.87854207,0.04608289,0.89193004,0.87854207,1.11147,3.9032989,table_2_1774186061812403336,RED_white_led_ids,RED,0.29,0.03,1.2612,0.8322,0.208,0.05164418281900371,29/01/2026,White LED
240,R11,34.91627121,32.02521896,04/01/2026,0.171821594,0.8940516,0.038752653,0.90657854,0.8940516,1.0179461,3.564929,table_74_1774187719104787288,RED_Shade_ids,RED,0.35,0.03,1.3303,1.1203,0.28,0.04879111654993083,05/02/2026,Shade
238,R11,34.91626358,32.02522278,04/01/2026,0.173934937,0.89327556,0.03783069,0.9046529,0.89327556,1.0021676,3.5078425,table_33_1774187719104774788,RED_Shade_ids,RED,0.35,0.03,1.3303,1.1203,0.28,0.04879111654993083,05/02/2026,Shade
229,C3,34.91627502,32.02522278,22/01/2026,0.06413269,0.8440131,0.05169407,0.8504997,0.8440131,1.0103422,3.5374181,table_57_1774186061812427436,RED_Control_ids,RED,0.33,0.03,1.2156,0.6871,0.172,0.043060447314394325,29/01/2026,Control-Sun
230,C3,34.91625977,32.02520752,22/01/2026,0.056735992,0.8463452,0.046840306,0.8510684,0.8463452,0.9336859,3.2600753,table_47_1774186061812422836,RED_Control_ids,RED,0.33,0.03,1.2156,0.6871,0.172,0.043060447314394325,29/01/2026,Control-Sun
227,R7,34.91625214,32.02519989,22/01/2026,0.077987671,0.8064529,0.048152052,0.8093207,0.8064529,1.0095671,3.534614,table_66_1774186061812429936,RED_white_led_ids,RED,0.31,0.03,1.2289,0.7585,0.19,0.03825967458053462,29/01/2026,White LED
228,R7,34.91625214,32.02519989,22/01/2026,0.088142395,0.8669832,0.050987694,0.87385654,0.8669832,1.0554073,3.7004638,table_1_1774186061812402836,RED_white_led_ids,RED,0.31,0.03,1.2289,0.7585,0.19,0.03825967458053462,29/01/2026,White LED
224,R4,34.91627121,32.02520752,22/01/2026,0.066959381,0.89298695,0.051981684,0.90988725,0.89298695,1.036468,3.6319416,table_38_1774186061812414236,RED_white_blue_led_ids,RED,0.17,0.03,1.141,0.4633,0.116,0.024693588199651523,29/01/2026,White+Blue LED
226,R4,34.91627121,32.0252037,22/01/2026,0.069988251,0.86237556,0.04389457,0.87162536,0.86237556,0.9090436,3.1709204,table_26_1774186061812410936,RED_white_blue_led_ids,RED,0.17,0.03,1.141,0.4633,0.116,0.024693588199651523,29/01/2026,White+Blue LED
244,C5,34.91630554,32.02526855,04/01/2026,0.122257233,0.87668455,0.038778655,0.88429743,0.87668455,1.0809959,3.7930431,table_44_1774187719104778388,RED_Control_ids,RED,0.48,0.03,1.1697,0.649,0.162,0.006976606784591368,05/02/2026,Control-Sun
242,C5,34.91627884,32.02523041,04/01/2026,0.121631622,0.86545056,0.038452387,0.87580967,0.86545056,1.0086154,3.531171,table_4_1774187719104765988,RED_Control_ids,RED,0.48,0.03,1.1697,0.649,0.162,0.006976606784591368,05/02/2026,Control-Sun
230,C5,34.91625977,32.02520752,22/01/2026,0.056735992,0.87001526,0.046097685,0.88361275,0.87001526,0.9883953,3.4580142,table_49_1774186061812423236,RED_Control_ids,RED,0.51,0.03,1.1935,0.7553,0.189,0.004988536535419471,29/01/2026,Control-Sun
229,C5,34.91627502,32.02522278,22/01/2026,0.06413269,0.868982,0.046622284,0.88219166,0.868982,0.96113276,3.3593783,table_59_1774186061812427836,RED_Control_ids,RED,0.51,0.03,1.1935,0.7553,0.189,0.004988536535419471,29/01/2026,Control-Sun
234,R1,34.91629791,32.02521515,04/01/2026,0.199237823,0.8789556,0.04155552,0.8834118,0.8789556,1.0639747,3.731461,table_61_1774187719104783588,RED_white_blue_led_ids,RED,0.41,0.03,1.172,0.676,0.169,0.0029965059882743564,05/02/2026,White+Blue LED
235,R1,34.91625595,32.02522278,04/01/2026,0.204093933,0.89261085,0.041023888,0.90212506,0.89261085,1.0411165,3.6487594,table_21_1774187719104770888,RED_white_blue_led_ids,RED,0.41,0.03,1.172,0.676,0.169,0.0029965059882743564,05/02/2026,White+Blue LED
229,C2,34.91627502,32.02522278,22/01/2026,0.06413269,0.8612721,0.049128238,0.87108517,0.8612721,0.99688774,3.4887397,table_56_1774186061812427136,RED_Control_ids,RED,0.28,0.03,1.1824,0.806,0.202,-0.019181800049301666,29/01/2026,Control-Sun
230,C2,34.91625977,32.02520752,22/01/2026,0.056735992,0.8611999,0.049134176,0.8689648,0.8611999,0.9930271,3.474772,table_46_1774186061812422536,RED_Control_ids,RED,0.28,0.03,1.1824,0.806,0.202,-0.019181800049301666,29/01/2026,Control-Sun
227,R6,34.91625214,32.02519989,22/01/2026,0.077987671,0.8128147,0.044248525,0.81504947,0.8128147,1.0302992,3.6096227,table_65_1774186061812429736,RED_white_led_ids,RED,0.26,0.03,1.1732,0.7997,0.2,-0.02737016904743093,29/01/2026,White LED
228,R6,34.91625214,32.02519989,22/01/2026,0.088142395,0.8597898,0.052441142,0.86264646,0.8597898,1.0484859,3.6754222,table_0_1774186061812400636,RED_white_led_ids,RED,0.26,0.03,1.1732,0.7997,0.2,-0.02737016904743093,29/01/2026,White LED
244,C2,34.91630554,32.02526855,04/01/2026,0.122257233,0.9008645,0.03879003,0.91119933,0.9008645,1.0957704,3.8464968,table_41_1774187719104777588,RED_Control_ids,RED,0.35,0.03,1.1237,0.7602,0.19,-0.06827777009005594,05/02/2026,Control-Sun
242,C2,34.91627884,32.02523041,04/01/2026,0.121631622,0.88832456,0.043603323,0.9014653,0.88832456,1.0106121,3.5383947,table_1_1774187719104764888,RED_Control_ids,RED,0.35,0.03,1.1237,0.7602,0.19,-0.06827777009005594,05/02/2026,Control-Sun
229,C4,34.91627502,32.02522278,22/01/2026,0.06413269,0.8746423,0.051557817,0.89220655,0.8746423,0.9658636,3.3764944,table_58_1774186061812427636,RED_Control_ids,RED,0.2,0.03,1.0981,0.7113,0.178,-0.08338052198311999,29/01/2026,Control-Sun
230,C4,34.91625977,32.02520752,22/01/2026,0.056735992,0.8696869,0.053847443,0.8857234,0.8696869,0.94395065,3.2972133,table_48_1774186061812423036,RED_Control_ids,RED,0.2,0.03,1.0981,0.7113,0.178,-0.08338052198311999,29/01/2026,Control-Sun
224,R3,34.91627121,32.02520752,22/01/2026,0.066959381,0.88068724,0.04764583,0.89779925,0.88068724,0.97683364,3.4161844,table_37_1774186061812413936,RED_white_blue_led_ids,RED,0.27,0.03,1.0894,0.7536,0.188,-0.10424891149650156,29/01/2026,White+Blue LED
226,R3,34.91627121,32.0252037,22/01/2026,0.069988251,0.85785383,0.052347466,0.8666967,0.85785383,0.99342203,3.4762008,table_25_1774186061812410736,RED_white_blue_led_ids,RED,0.27,0.03,1.0894,0.7536,0.188,-0.10424891149650156,29/01/2026,White+Blue LED
244,C3,34.91630554,32.02526855,04/01/2026,0.122257233,0.8919072,0.040172614,0.90386826,0.8919072,1.1223557,3.9426827,table_42_1774187719104777788,RED_Control_ids,RED,0.38,0.03,1.0479,0.602,0.151,-0.10869830209676051,05/02/2026,Control-Sun
242,C3,34.91627884,32.02523041,04/01/2026,0.121631622,0.8882397,0.03757166,0.8988816,0.8882397,0.9604126,3.3567734,table_2_1774187719104765388,RED_Control_ids,RED,0.38,0.03,1.0479,0.602,0.151,-0.10869830209676051,05/02/2026,Control-Sun
227,R9,34.91625214,32.02519989,22/01/2026,0.077987671,0.8235316,0.039944123,0.83471495,0.8235316,0.95244867,3.3279588,table_68_1774186061812430436,RED_white_led_ids,RED,0.28,0.03,1.0791,0.736,0.184,-0.11093044338947007,29/01/2026,White LED
228,R9,34.91625214,32.02519989,22/01/2026,0.088142395,0.87932986,0.055156387,0.89482516,0.87932986,1.119718,3.9331398,table_3_1774186061812403636,RED_white_led_ids,RED,0.28,0.03,1.0791,0.736,0.184,-0.11093044338947007,29/01/2026,White LED
227,R10,34.91625214,32.02519989,22/01/2026,0.077987671,0.84318995,0.042576168,0.8572399,0.84318995,1.0207732,3.575157,table_69_1774186061812430636,RED_white_led_ids,RED,0.26,0.03,1.0864,0.7774,0.194,-0.11428802532652285,29/01/2026,White LED
228,R10,34.91625214,32.02519989,22/01/2026,0.088142395,0.8885275,0.046658125,0.90741676,0.8885275,1.0634092,3.7294145,table_4_1774186061812403836,RED_white_led_ids,RED,0.26,0.03,1.0864,0.7774,0.194,-0.11428802532652285,29/01/2026,White LED
244,C1,34.91630554,32.02526855,04/01/2026,0.122257233,0.90530443,0.03829347,0.9171012,0.90530443,1.0491754,3.6779163,table_40_1774187719104776788,RED_Control_ids,RED,0.46,0.03,1.0863,0.8226,0.206,-0.12669651797282191,05/02/2026,Control-Sun
242,C1,34.91627884,32.02523041,04/01/2026,0.121631622,0.8907857,0.049238473,0.9056537,0.8907857,1.020209,3.5731163,table_0_1774187719104763187,RED_Control_ids,RED,0.46,0.03,1.0863,0.8226,0.206,-0.12669651797282191,05/02/2026,Control-Sun
227,R13,34.91625214,32.02519989,22/01/2026,0.077987671,0.81027484,0.03541869,0.8158574,0.81027484,1.0358365,3.629656,table_77_1774186061812433136,RED_Shade_ids,RED,0.21,0.03,0.9584,0.5563,0.139,-0.1381121540246676,29/01/2026,Shade
228,R13,34.91625214,32.02519989,22/01/2026,0.088142395,0.8384848,0.04153225,0.84622777,0.8384848,1.0732696,3.7650893,table_12_1774186061812406736,RED_Shade_ids,RED,0.21,0.03,0.9584,0.5563,0.139,-0.1381121540246676,29/01/2026,Shade
227,R14,34.91625214,32.02519989,22/01/2026,0.077987671,0.80973494,0.03904448,0.81166464,0.80973494,0.9812729,3.432246,table_78_1774186061812433436,RED_Shade_ids,RED,0.24,0.03,1.0099,0.5701,0.143,-0.14271514879972286,29/01/2026,Shade
228,R14,34.91625214,32.02519989,22/01/2026,0.088142395,0.85850483,0.04990149,0.86010534,0.85850483,1.1263716,3.9572124,table_13_1774186061812407036,RED_Shade_ids,RED,0.24,0.03,1.0099,0.5701,0.143,-0.14271514879972286,29/01/2026,Shade
227,R12,34.91625214,32.02519989,22/01/2026,0.077987671,0.8121705,0.039846253,0.8235704,0.8121705,0.92620635,3.233014,table_76_1774186061812432136,RED_Shade_ids,RED,0.23,0.03,0.6855,0.4801,0.12,-0.17673598518334357,29/01/2026,Shade
228,R12,34.91625214,32.02519989,22/01/2026,0.088142395,0.8719562,0.051397517,0.88830477,0.8719562,1.1102636,3.8989336,table_11_1774186061812406036,RED_Shade_ids,RED,0.23,0.03,0.6855,0.4801,0.12,-0.17673598518334357,29/01/2026,Shade
224,R5,34.91627121,32.02520752,22/01/2026,0.066959381,0.9027262,0.043712586,0.9172231,0.9027262,1.0080445,3.5291047,table_39_1774186061812414436,RED_white_blue_led_ids,RED,0.24,0.03,0.9879,0.6451,0.161,-0.18994937476933402,29/01/2026,White+Blue LED
226,R5,34.91627121,32.0252037,22/01/2026,0.069988251,0.8657691,0.047098015,0.8831705,0.8657691,0.9783779,3.421771,table_27_1774186061812411236,RED_white_blue_led_ids,RED,0.24,0.03,0.9879,0.6451,0.161,-0.18994937476933402,29/01/2026,White+Blue LED
234,R6,34.91629791,32.02521515,04/01/2026,0.199237823,0.8860125,0.037365843,0.88916826,0.8860125,1.0007708,3.502789,table_55_1774187719104782088,RED_white_led_ids,RED,0.41,0.03,1.0707,0.9849,0.246,-0.19358353548116877,05/02/2026,White LED
235,R6,34.91625595,32.02522278,04/01/2026,0.204093933,0.8719892,0.04345795,0.8782326,0.8719892,1.1589857,4.07521,table_14_1774187719104768988,RED_white_led_ids,RED,0.41,0.03,1.0707,0.9849,0.246,-0.19358353548116877,05/02/2026,White LED
244,C4,34.91630554,32.02526855,04/01/2026,0.122257233,0.892033,0.05624618,0.9132321,0.892033,1.0877982,3.817654,table_43_1774187719104778088,RED_Control_ids,RED,0.42,0.03,0.9242,0.6501,0.163,-0.27180741096039385,05/02/2026,Control-Sun
242,C4,34.91627884,32.02523041,04/01/2026,0.121631622,0.88288516,0.049142458,0.8998172,0.88288516,0.8888777,3.0979595,table_3_1774187719104765688,RED_Control_ids,RED,0.42,0.03,0.9242,0.6501,0.163,-0.27180741096039385,05/02/2026,Control-Sun
234,R7,34.91629791,32.02521515,04/01/2026,0.199237823,0.88826704,0.043254364,0.8941482,0.88826704,0.96662754,3.3792582,table_56_1774187719104782288,RED_white_led_ids,RED,0.6,0.03,1.0198,1.1908,0.298,-0.32572875504871873,05/02/2026,White LED
235,R7,34.91625595,32.02522278,04/01/2026,0.204093933,0.8795524,0.048920564,0.8907942,0.8795524,1.1457843,4.0274477,table_13_1774187719104768688,RED_white_led_ids,RED,0.6,0.03,1.0198,1.1908,0.298,-0.32572875504871873,05/02/2026,White LED
224,R2,34.91627121,32.02520752,22/01/2026,0.066959381,0.8923148,0.044740826,0.9057098,0.8923148,0.9874159,3.4544709,table_36_1774186061812413736,RED_white_blue_led_ids,RED,0.31,0.03,0.9322,0.8433,0.211,-0.3271147547355978,29/01/2026,White+Blue LED
226,R2,34.91627121,32.0252037,22/01/2026,0.069988251,0.86261326,0.054759692,0.8765112,0.86261326,0.9782963,3.421476,table_24_1774186061812410336,RED_white_blue_led_ids,RED,0.31,0.03,0.9322,0.8433,0.211,-0.3271147547355978,29/01/2026,White+Blue LED
160,R1,34.91624069,32.02518463,01/12/2025,0.08599472,0.8438341,0.04966232,0.85509133,0.8438341,0.9833514,3.4397655,table_0_1774168017329665568,RED_white_blue_led_ids,RED,0.22,0.03,0.7162,0.107,0.027,-0.3725125565907219,05/12/2025,White+Blue LED
162,R1,34.91620255,32.02521515,01/12/2025,0.076473236,0.84077394,0.056578986,0.8575579,0.84077394,1.0129302,3.5467813,table_24_1774168017329675368,RED_white_blue_led_ids,RED,0.22,0.03,0.7162,0.107,0.027,-0.3725125565907219,05/12/2025,White+Blue LED
165,R1,34.91619492,32.02518845,01/12/2025,0.084526062,0.84201837,0.060903117,0.8579102,0.84201837,0.98137623,3.432619,table_32_1774168017329677768,RED_white_blue_led_ids,RED,0.22,0.03,0.7162,0.107,0.027,-0.3725125565907219,05/12/2025,White+Blue LED
163,R1,34.91619492,32.02517319,01/12/2025,0.080104828,0.849051,0.047333825,0.86185837,0.849051,1.0190638,3.5689728,table_8_1774168017329669768,RED_white_blue_led_ids,RED,0.22,0.03,0.7162,0.107,0.027,-0.3725125565907219,05/12/2025,White+Blue LED
161,R1,34.91622543,32.02519608,01/12/2025,0.08392334,0.8457907,0.048203964,0.85633874,0.8457907,0.98533636,3.446947,table_16_1774168017329672868,RED_white_blue_led_ids,RED,0.22,0.03,0.7162,0.107,0.027,-0.3725125565907219,05/12/2025,White+Blue LED
