img_num,label_name,longitude,latitude,acquisition date,FVC,ndvi_mean,ndvi_std,ndvi_median,gndvi_mean,evi_mean,lai_mean,NDI_df
160,1.0,34.91624069,32.02518463,01-12-2025,0.08599472045898438,0.8438341,0.04966232,0.85509133,0.8438341,0.9833514,3.4397655,datasets/ndi_tables/ndi_table_of_img_160_1765444279.4960365.csv
160,2.0,34.91624069,32.02518463,01-12-2025,0.08599472045898438,0.8157886,0.05677559,0.82840335,0.8157886,0.99501514,3.4819648,datasets/ndi_tables/ndi_table_of_img_160_1765444347.2099018.csv
160,3.0,34.91624069,32.02518463,01-12-2025,0.08599472045898438,0.8368417,0.04295208,0.84493047,0.8368417,0.9523118,3.3274639,datasets/ndi_tables/ndi_table_of_img_160_1765444411.4156377.csv
160,5.0,34.91624069,32.02518463,01-12-2025,0.08599472045898438,0.8478129,0.04599344,0.8577403,0.8478129,1.0146949,3.5531662,datasets/ndi_tables/ndi_table_of_img_160_1765444475.887045.csv
160,4.0,34.91624069,32.02518463,01-12-2025,0.08599472045898438,0.8106222,0.05586786,0.82414407,0.8106222,1.007623,3.5275798,datasets/ndi_tables/ndi_table_of_img_160_1765444539.798976.csv
160,8.0,34.91624069,32.02518463,01-12-2025,0.08599472045898438,0.8107342,0.047183044,0.8194616,0.8107342,1.0384895,3.6392548,datasets/ndi_tables/ndi_table_of_img_160_1765444603.9777758.csv
160,7.0,34.91624069,32.02518463,01-12-2025,0.08599472045898438,0.84088486,0.049550638,0.85311174,0.84088486,1.0075449,3.527297,datasets/ndi_tables/ndi_table_of_img_160_1765444668.1114416.csv
160,6.0,34.91624069,32.02518463,01-12-2025,0.08599472045898438,0.8145579,0.04323713,0.82443416,0.8145579,1.0084629,3.530619,datasets/ndi_tables/ndi_table_of_img_160_1765444732.0485044.csv
163,7.0,34.91619492,32.02517319,01-12-2025,0.08010482788085938,0.84092337,0.052845493,0.85820764,0.84092337,0.97204155,3.3988461,datasets/ndi_tables/ndi_table_of_img_163_1765444830.9077277.csv
163,3.0,34.91619492,32.02517319,01-12-2025,0.08010482788085938,0.83045554,0.042476125,0.8380396,0.83045554,0.9658063,3.376287,datasets/ndi_tables/ndi_table_of_img_163_1765444896.2494593.csv
163,6.0,34.91619492,32.02517319,01-12-2025,0.08010482788085938,0.8102097,0.04886139,0.82186705,0.8102097,0.98968637,3.4626856,datasets/ndi_tables/ndi_table_of_img_163_1765444959.0269842.csv
163,1.0,34.91619492,32.02517319,01-12-2025,0.08010482788085938,0.849051,0.047333825,0.86185837,0.849051,1.0190638,3.5689728,datasets/ndi_tables/ndi_table_of_img_163_1765445023.1055384.csv
163,4.0,34.91619492,32.02517319,01-12-2025,0.08010482788085938,0.822233,0.057995714,0.8403537,0.822233,0.99273914,3.4737303,datasets/ndi_tables/ndi_table_of_img_163_1765445084.7238238.csv
163,5.0,34.91619492,32.02517319,01-12-2025,0.08010482788085938,0.857098,0.046775177,0.87150127,0.857098,0.9998935,3.4996145,datasets/ndi_tables/ndi_table_of_img_163_1765445147.895618.csv
163,2.0,34.91619492,32.02517319,01-12-2025,0.08010482788085938,0.8255897,0.0534666,0.8425006,0.8255897,0.97660583,3.41536,datasets/ndi_tables/ndi_table_of_img_163_1765445210.731575.csv
163,8.0,34.91619492,32.02517319,01-12-2025,0.08010482788085938,0.8246671,0.054453067,0.8400538,0.8246671,1.0187944,3.5679982,datasets/ndi_tables/ndi_table_of_img_163_1765445275.369904.csv
161,2.0,34.91622543,32.02519608,01-12-2025,0.08392333984375,0.8277259,0.05775281,0.84478885,0.8277259,0.99896616,3.4962592,datasets/ndi_tables/ndi_table_of_img_161_1765445371.292182.csv
161,5.0,34.91622543,32.02519608,01-12-2025,0.08392333984375,0.8401485,0.051139217,0.8521813,0.8401485,1.012036,3.5435462,datasets/ndi_tables/ndi_table_of_img_161_1765445432.6561916.csv
161,4.0,34.91622543,32.02519608,01-12-2025,0.08392333984375,0.81546676,0.062017187,0.82719356,0.81546676,0.9906993,3.4663503,datasets/ndi_tables/ndi_table_of_img_161_1765445494.8110957.csv
161,1.0,34.91622543,32.02519608,01-12-2025,0.08392333984375,0.8457907,0.048203964,0.85633874,0.8457907,0.98533636,3.446947,datasets/ndi_tables/ndi_table_of_img_161_1765445557.4868815.csv
161,7.0,34.91622543,32.02519608,01-12-2025,0.08392333984375,0.8453792,0.045393948,0.8594801,0.8453792,0.9808037,3.430548,datasets/ndi_tables/ndi_table_of_img_161_1765445620.4012587.csv
161,8.0,34.91622543,32.02519608,01-12-2025,0.08392333984375,0.82446414,0.049101803,0.833028,0.82446414,1.033408,3.6208706,datasets/ndi_tables/ndi_table_of_img_161_1765445684.3155656.csv
161,3.0,34.91622543,32.02519608,01-12-2025,0.08392333984375,0.84614,0.03510308,0.8525877,0.84614,0.9504532,3.3207397,datasets/ndi_tables/ndi_table_of_img_161_1765445747.6745348.csv
161,6.0,34.91622543,32.02519608,01-12-2025,0.08392333984375,0.8229744,0.046115737,0.8325918,0.8229744,0.99474484,3.4809868,datasets/ndi_tables/ndi_table_of_img_161_1765445811.1136527.csv
162,6.0,34.91620255,32.02521515,01-12-2025,0.07647323608398438,0.8123235,0.04510127,0.824468,0.8123235,1.0306269,3.6108081,datasets/ndi_tables/ndi_table_of_img_162_1765445909.129324.csv
162,1.0,34.91620255,32.02521515,01-12-2025,0.07647323608398438,0.84077394,0.056578986,0.8575579,0.84077394,1.0129302,3.5467813,datasets/ndi_tables/ndi_table_of_img_162_1765445975.465784.csv
162,8.0,34.91620255,32.02521515,01-12-2025,0.07647323608398438,0.8228557,0.052069243,0.8323897,0.8228557,1.0411385,3.6488395,datasets/ndi_tables/ndi_table_of_img_162_1765446042.6457655.csv
162,3.0,34.91620255,32.02521515,01-12-2025,0.07647323608398438,0.8383302,0.0451447,0.85060775,0.8383302,0.97818923,3.421089,datasets/ndi_tables/ndi_table_of_img_162_1765446108.197463.csv
162,2.0,34.91620255,32.02521515,01-12-2025,0.07647323608398438,0.82885206,0.053683966,0.8478634,0.82885206,1.0050031,3.518101,datasets/ndi_tables/ndi_table_of_img_162_1765446174.2693949.csv
162,4.0,34.91620255,32.02521515,01-12-2025,0.07647323608398438,0.8117073,0.057224,0.8309288,0.8117073,0.9900158,3.4638772,datasets/ndi_tables/ndi_table_of_img_162_1765446240.1217585.csv
162,5.0,34.91620255,32.02521515,01-12-2025,0.07647323608398438,0.85267437,0.049921136,0.8675006,0.85267437,1.0269415,3.5974748,datasets/ndi_tables/ndi_table_of_img_162_1765446306.0264637.csv
162,7.0,34.91620255,32.02521515,01-12-2025,0.07647323608398438,0.83265215,0.054312382,0.85165215,0.83265215,0.9587574,3.3507843,datasets/ndi_tables/ndi_table_of_img_162_1765446371.3640676.csv
165,8.0,34.91619492,32.02518845,01-12-2025,0.08452606201171875,0.82401985,0.055914756,0.84209573,0.82401985,1.055309,3.700108,datasets/ndi_tables/ndi_table_of_img_165_1765446467.3724148.csv
165,6.0,34.91619492,32.02518845,01-12-2025,0.08452606201171875,0.80634546,0.045533575,0.8153216,0.80634546,1.0135446,3.5490043,datasets/ndi_tables/ndi_table_of_img_165_1765446530.5204954.csv
165,1.0,34.91619492,32.02518845,01-12-2025,0.08452606201171875,0.84201837,0.060903117,0.8579102,0.84201837,0.98137623,3.432619,datasets/ndi_tables/ndi_table_of_img_165_1765446593.9179862.csv
165,5.0,34.91619492,32.02518845,01-12-2025,0.08452606201171875,0.859437,0.045361087,0.8704961,0.859437,1.0399722,3.6446195,datasets/ndi_tables/ndi_table_of_img_165_1765446657.3556006.csv
165,2.0,34.91619492,32.02518845,01-12-2025,0.08452606201171875,0.8189627,0.052299254,0.83700144,0.8189627,0.9853694,3.4470663,datasets/ndi_tables/ndi_table_of_img_165_1765446729.553475.csv
165,3.0,34.91619492,32.02518845,01-12-2025,0.08452606201171875,0.8427334,0.039405875,0.8492012,0.8427334,0.977598,3.4189496,datasets/ndi_tables/ndi_table_of_img_165_1765446798.8266504.csv
165,4.0,34.91619492,32.02518845,01-12-2025,0.08452606201171875,0.8251004,0.054359443,0.8388434,0.8251004,0.9981496,3.4933047,datasets/ndi_tables/ndi_table_of_img_165_1765446868.4354396.csv
165,7.0,34.91619492,32.02518845,01-12-2025,0.08452606201171875,0.8382012,0.049054865,0.8492184,0.8382012,0.9567803,3.3436308,datasets/ndi_tables/ndi_table_of_img_165_1765446937.1002996.csv
